"rol","unidad","años_institucion","comp_digital","uso_plataformas","uso_herramientas_av","actitud_cambio","capacitacion_ti","frecuencia_uso","plan_td","liderazgo_td","presupuesto_ti","dig_matricula","dig_notas","dig_titulacion","dig_pagos","firma_electronica","exp_facilidad","exp_confiabilidad","exp_servicios_enlinea","exp_satisfaccion","problemas_acceso","madurez_actual","madurez_futura","prob_avance_5a"
"Autoridad/Directivo","Facultad de Ciencias Administrativas",19,2,1,3,3,0,4,2,3,1,3,3,5,NA,0,NA,NA,NA,NA,NA,5,2,3
"Autoridad/Directivo","Facultad de Ciencias Administrativas",14,1,3,4,3,2,NA,1,5,3,3,3,1,5,0,NA,NA,NA,NA,NA,4,2,4
"Autoridad/Directivo","Facultad de Ingeniería Civil y Ambiental",8,4,1,NA,4,2,3,3,5,1,4,5,3,4,0,NA,NA,NA,NA,NA,2,1,4
"Autoridad/Directivo","Facultad de Ingeniería Química y Agroindustria",8,1,5,NA,2,0,1,2,4,3,2,2,1,NA,1,NA,NA,NA,NA,NA,3,3,2
"Autoridad/Directivo","Facultad de Ingeniería Civil y Ambiental",1,3,2,5,4,NA,2,1,4,4,3,4,5,4,0,NA,NA,NA,NA,NA,5,NA,1
"Autoridad/Directivo","Facultad de Ingeniería Eléctrica y Electrónica",13,4,3,2,2,3,2,4,3,2,4,4,3,2,0,NA,NA,NA,NA,NA,NA,4,4
"Autoridad/Directivo","Facultad de Ingeniería Eléctrica y Electrónica",7,3,1,NA,3,NA,2,5,5,2,3,3,1,3,1,NA,NA,NA,NA,NA,3,1,3
"Autoridad/Directivo","Facultad de Ingeniería Química y Agroindustria",4,4,2,NA,2,0,3,3,1,2,4,NA,3,4,0,NA,NA,NA,NA,NA,3,2,3
"Autoridad/Directivo","Facultad de Ingeniería Civil y Ambiental",0,3,3,4,NA,0,1,1,3,1,3,NA,1,5,NA,NA,NA,NA,NA,NA,3,4,4
"Autoridad/Directivo","Facultad de Ingeniería de Sistemas",6,2,5,5,3,2,NA,3,5,1,2,NA,4,3,0,NA,NA,NA,NA,NA,2,NA,2
"Autoridad/Directivo","Facultad de Ingeniería Mecánica",3,2,1,2,2,0,NA,5,3,2,NA,4,3,2,1,NA,NA,NA,NA,NA,1,2,2
"Autoridad/Directivo","Facultad de Ingeniería Química y Agroindustria",6,5,3,4,NA,3,4,3,3,1,1,3,2,4,0,NA,NA,NA,NA,NA,2,5,4
"Autoridad/Directivo","Facultad de Ingeniería Química y Agroindustria",1,1,3,3,NA,1,2,4,3,3,3,NA,NA,2,1,NA,NA,NA,NA,NA,2,3,1
"Autoridad/Directivo","Facultad de Ciencias",18,4,4,2,4,3,3,4,5,1,2,2,3,5,1,NA,NA,NA,NA,NA,3,3,1
"Autoridad/Directivo","Facultad de Ingeniería Eléctrica y Electrónica",8,1,1,3,5,3,2,5,2,3,3,1,1,3,1,NA,NA,NA,NA,NA,5,3,3
"Autoridad/Directivo","Facultad de Ingeniería Civil y Ambiental",14,3,3,4,4,1,2,2,3,2,3,3,5,1,0,NA,NA,NA,NA,NA,4,5,4
"Autoridad/Directivo","Facultad de Geología y Petróleos",8,4,4,3,2,2,1,3,3,2,5,NA,4,1,0,NA,NA,NA,NA,NA,4,2,2
"Autoridad/Directivo","Facultad de Ingeniería de Sistemas",5,4,NA,4,5,0,NA,3,4,4,3,NA,3,5,NA,NA,NA,NA,NA,NA,1,4,4
"Docente","Facultad de Ingeniería Civil y Ambiental",4,4,5,1,4,3,NA,4,2,3,NA,3,1,2,0,NA,NA,NA,NA,NA,NA,2,2
"Docente","Facultad de Ingeniería Civil y Ambiental",1,3,2,2,3,0,2,3,3,3,5,3,2,2,0,NA,NA,NA,NA,NA,5,5,2
"Docente","Facultad de Ciencias",17,2,3,3,4,2,1,4,1,3,4,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,3
"Docente","Facultad de Ingeniería Mecánica",0,3,3,5,5,3,1,1,3,1,3,NA,NA,NA,0,NA,NA,NA,NA,NA,3,5,3
"Docente","Facultad de Ciencias",10,4,5,2,2,0,3,1,1,4,4,3,1,2,NA,NA,NA,NA,NA,NA,5,1,3
"Docente","Facultad de Ciencias",13,4,3,1,NA,0,4,3,3,4,NA,2,4,2,NA,NA,NA,NA,NA,NA,3,2,1
"Docente","Facultad de Ingeniería de Sistemas",9,3,2,4,3,0,NA,5,3,4,2,NA,3,3,0,NA,NA,NA,NA,NA,3,3,4
"Docente","Facultad de Ingeniería Civil y Ambiental",3,5,4,1,4,0,1,3,3,4,2,1,3,5,0,NA,NA,NA,NA,NA,NA,3,4
"Docente","Facultad de Geología y Petróleos",14,4,4,4,5,3,2,1,3,1,3,3,5,2,0,NA,NA,NA,NA,NA,3,3,2
"Docente","Facultad de Ingeniería Eléctrica y Electrónica",9,4,4,NA,3,3,1,3,1,1,3,NA,4,1,0,NA,NA,NA,NA,NA,NA,3,4
"Docente","Facultad de Ciencias Administrativas",2,3,4,4,NA,2,4,4,1,4,3,2,4,1,1,NA,NA,NA,NA,NA,4,3,1
"Docente","Facultad de Ingeniería Eléctrica y Electrónica",0,2,NA,5,4,NA,2,2,4,2,1,3,3,4,0,NA,NA,NA,NA,NA,5,4,4
"Docente","Facultad de Ciencias",21,4,5,NA,3,0,1,3,5,4,3,NA,1,NA,0,NA,NA,NA,NA,NA,2,3,4
"Docente","Facultad de Ingeniería Química y Agroindustria",4,1,2,1,5,1,4,3,3,2,3,NA,2,2,1,NA,NA,NA,NA,NA,2,3,1
