"fecha","plataforma","usuarios_unicos","latencia_ms","errores_5xx","tiempo_caida_min","carga_cpu_pct","carga_memoria_pct","registro_incompleto"
"2024-12-12","Moodle","324","213.918353043723","4","2","58.2646757323657","55.9280073853114","0"
"2024-12-13","Moodle","369","233.470910451129","2","4","60.8080820489263","43.7357254898971","0"
"2024-12-14","Moodle","341","197.66129281537","3","4","49.7614995201759","57.7429280364699","0"
"2024-12-15","Moodle","336","172.277768514369","5","6","69.16889111735","40.4173476581037","0"
"2024-12-16","Moodle","335","237.080685048282","3","1","43.035412219989","44.3789392659809","0"
"2024-12-17","Moodle","354","211.602838027848","1","2","59.5253175450273","67.7990862635046","0"
"2024-12-18","Moodle","368","162.312699961885","5","15","57.1735799569968","67.1631877434538","0"
"2024-12-19","Moodle","360","114.037349045535","4","0","55.3843023854552","76.6214509635673","0"
"2024-12-20","Moodle","332","154.365568182727","3","1","65.7057104651525","71.9114952046794","0"
"2024-12-21","Moodle","347","201.348051038313","0","2","62.0420955965113","61.8029863074677","0"
"2024-12-22","Moodle","380","243.430108413183","1","3","59.5896189688189","41.2966084473527","0"
"2024-12-23","Moodle","323","185.700015958894","3","4","58.6317688887053","62.5777227395865","0"
"2024-12-24","Moodle","335","197.130499998649","3","2","51.1152167240769","51.1359384316774","0"
"2024-12-25","Moodle","357","207.799791139519","4","2","55.4392043430917","70.0697323835922","0"
"2024-12-26","Moodle","392","160.279166629606","1","6","48.9530038044955","69.9553627936915","0"
"2024-12-27","Moodle","378","140.376005426801","0","5","57.9188080035569","44.5614646895345","0"
"2024-12-28","Moodle","341","151.309169783053","3","3","46.0422508481997","58.200457550424","0"
"2024-12-29","Moodle","328","160.610566479994","0","6","55.1795225843372","48.6755076943597","0"
"2024-12-30","Moodle","353","164.202609857313","1","0","52.7462476777124","72.5102819175161","0"
"2024-12-31","Moodle","349","164.87444462269","0","2","53.4137977953673","85.2532529883078","0"
"2025-01-01","Moodle","371","161.027878890143","2","2","60.5245249615386","55.9619052917202","0"
"2025-01-02","Moodle","341","175.273253562824","3","3","65.7239272840086","68.8661998423471","0"
"2025-01-03","Moodle","373","183.407057948981","3","5","57.6819778843271","39.3593370621054","0"
